episode,reward,avg_loss,epsilon,success,steps
0,-4.000,0.02014,0.998,0,50
1,1.500,0.03527,0.995,0,50
2,3.000,0.04263,0.993,0,50
3,-6.000,0.03284,0.991,0,50
4,-7.000,0.02758,0.988,0,50
5,1.500,0.02623,0.986,0,50
6,-3.000,0.02441,0.983,0,50
7,-1.500,0.02215,0.981,0,50
8,-1.500,0.02063,0.979,0,50
9,-4.000,0.02036,0.976,0,50
10,-8.500,0.01841,0.974,0,50
11,-3.500,0.02056,0.972,0,50
12,1.000,0.02121,0.969,0,50
13,2.000,0.02307,0.967,0,50
14,-2.000,0.02242,0.964,0,50
15,-2.500,0.02252,0.962,0,50
16,-3.500,0.02188,0.960,0,50
17,-2.000,0.02095,0.957,0,50
18,4.000,0.02162,0.955,0,50
19,-2.000,0.02288,0.953,0,50
20,-3.500,0.04328,0.950,0,50
21,-5.000,0.03608,0.948,0,50
22,3.000,0.03708,0.945,0,50
23,-1.500,0.03425,0.943,0,50
24,1.000,0.03230,0.941,0,50
25,6.500,0.03204,0.938,0,50
26,-3.000,0.03550,0.936,0,50
27,3.000,0.03679,0.934,0,50
28,-3.500,0.03519,0.931,0,50
29,3.000,0.03551,0.929,0,50
30,-5.000,0.03287,0.926,0,50
31,-3.000,0.03086,0.924,0,50
32,-4.500,0.03453,0.922,0,50
33,4.500,0.03265,0.919,0,50
34,-0.500,0.03131,0.917,0,50
35,-2.000,0.03417,0.915,0,50
36,2.500,0.03112,0.912,0,50
37,4.000,0.03436,0.910,0,50
38,-2.500,0.03544,0.907,0,50
39,-1.000,0.03242,0.905,0,50
40,-3.500,0.05555,0.903,0,50
41,2.000,0.04497,0.900,0,50
42,-5.000,0.04364,0.898,0,50
43,-1.500,0.04048,0.896,0,50
44,0.000,0.04337,0.893,0,50
45,-0.500,0.04139,0.891,0,50
46,1.500,0.04005,0.888,0,50
47,6.500,0.03836,0.886,0,50
48,5.500,0.03951,0.884,0,50
49,-4.500,0.04010,0.881,0,50
50,-0.000,0.04224,0.879,0,50
51,1.000,0.04031,0.877,0,50
52,-1.000,0.03837,0.874,0,50
53,-0.500,0.03948,0.872,0,50
54,59.400,0.04042,0.870,1,41
55,1.500,1.62981,0.867,0,50
56,5.500,1.61882,0.865,0,50
57,2.500,0.82430,0.863,0,50
58,5.500,0.81721,0.860,0,50
59,-2.000,0.80290,0.858,0,50
60,-0.500,0.81800,0.856,0,50
61,6.500,1.52368,0.853,0,50
62,-4.000,1.46539,0.851,0,50
63,53.500,2.00474,0.849,1,35
64,7.000,0.76251,0.847,0,50
65,4.000,2.14801,0.844,0,50
66,-6.000,1.57450,0.842,0,50
67,8.000,2.40575,0.840,0,50
68,2.500,2.20909,0.837,0,50
69,10.000,1.58617,0.835,0,50
70,2.500,1.51537,0.833,0,50
71,8.500,0.80195,0.830,0,50
72,5.500,2.10246,0.828,0,50
73,1.500,1.44883,0.825,0,50
74,-1.000,0.77643,0.823,0,50
75,-5.000,0.68892,0.821,0,50
76,7.000,2.27543,0.818,0,50
77,9.000,2.74148,0.816,0,50
78,0.500,2.16214,0.814,0,50
79,0.500,1.24725,0.811,0,50
80,6.000,0.13767,0.809,0,50
81,8.000,2.24924,0.806,0,50
82,3.500,0.88597,0.804,0,50
83,5.000,0.87381,0.802,0,50
84,10.500,0.12889,0.799,0,50
85,51.800,3.07487,0.798,1,37
86,1.500,4.22127,0.795,0,50
87,1.000,0.78959,0.793,0,50
88,55.800,1.63978,0.791,1,42
89,6.000,5.15755,0.788,0,50
90,7.500,1.49195,0.786,0,50
91,-0.500,2.00382,0.784,0,50
92,7.000,2.03890,0.781,0,50
93,0.500,3.52318,0.779,0,50
94,9.000,1.49317,0.777,0,50
95,15.500,1.57472,0.774,0,50
96,3.500,0.14053,0.772,0,50
97,8.500,2.18972,0.769,0,50
98,5.000,0.86901,0.767,0,50
99,-4.500,1.42147,0.765,0,50
100,3.500,0.90575,0.762,0,50
101,1.500,0.87267,0.760,0,50
102,-0.000,2.07682,0.758,0,50
103,5.000,0.16735,0.755,0,50
104,4.000,1.61821,0.753,0,50
105,8.000,0.90032,0.750,0,50
106,1.000,2.95232,0.748,0,50
107,6.000,2.86164,0.746,0,50
108,-1.000,1.55749,0.743,0,50
109,6.500,1.59339,0.741,0,50
110,3.500,2.82728,0.739,0,50
111,6.500,1.49914,0.736,0,50
112,6.500,2.15311,0.734,0,50
113,3.500,1.52093,0.731,0,50
114,14.000,2.15505,0.729,0,50
115,-0.500,0.19706,0.727,0,50
116,3.500,0.17786,0.724,0,50
117,9.000,1.45378,0.722,0,50
118,4.500,0.87032,0.720,0,50
119,8.000,2.61438,0.717,0,50
120,3.500,0.19130,0.715,0,50
121,7.500,1.57551,0.712,0,50
122,17.000,0.94758,0.710,0,50
123,55.700,2.07379,0.709,1,18
124,6.000,1.37895,0.707,0,50
125,8.000,0.26335,0.704,0,50
126,10.000,1.49167,0.702,0,50
127,62.100,2.80898,0.700,1,34
128,11.500,4.56781,0.698,0,50
129,9.000,0.89342,0.696,0,50
130,1.500,2.18331,0.693,0,50
131,11.000,3.29664,0.691,0,50
132,-0.500,0.21532,0.689,0,50
133,11.500,3.44999,0.686,0,50
134,58.900,2.01529,0.685,1,21
135,8.500,3.66385,0.683,0,50
136,-1.000,2.22153,0.680,0,50
137,9.500,2.18932,0.678,0,50
138,10.500,2.03890,0.676,0,50
139,20.000,3.55025,0.673,0,50
140,13.500,2.86292,0.671,0,50
141,6.000,1.45157,0.669,0,50
142,11.000,0.27874,0.666,0,50
143,7.500,2.15394,0.664,0,50
144,5.000,4.18645,0.661,0,50
145,10.000,0.93975,0.659,0,50
146,10.500,3.45484,0.657,0,50
147,66.200,3.85151,0.654,1,48
148,6.500,3.01270,0.652,0,50
149,5.500,1.57790,0.650,0,50
150,6.500,2.69327,0.647,0,50
151,3.000,2.24118,0.645,0,50
152,13.000,2.30464,0.643,0,50
153,8.000,2.91310,0.640,0,50
154,11.000,2.24385,0.638,0,50
155,14.000,1.59237,0.635,0,50
156,2.000,2.09526,0.633,0,50
157,58.500,0.27669,0.632,1,15
158,4.500,2.86422,0.630,0,50
159,1.000,2.97683,0.628,0,50
160,3.000,0.98719,0.625,0,50
161,28.000,0.91850,0.623,0,50
162,-3.000,1.67622,0.620,0,50
163,4.500,2.39352,0.618,0,50
164,8.500,1.61570,0.616,0,50
165,59.200,4.73319,0.614,1,38
166,59.600,1.80354,0.613,1,24
167,7.500,4.84912,0.610,0,50
168,12.500,3.59549,0.608,0,50
169,13.000,5.01734,0.606,0,50
170,15.000,1.97464,0.603,0,50
171,19.500,2.77082,0.601,0,50
172,12.500,2.82851,0.599,0,50
173,61.000,3.68236,0.597,1,40
174,11.500,1.05308,0.594,0,50
175,15.500,3.28770,0.592,0,50
176,10.500,2.33296,0.590,0,50
177,15.500,2.32940,0.587,0,50
178,10.500,2.96408,0.585,0,50
179,13.000,3.68332,0.582,0,50
180,61.800,1.29810,0.581,1,32
181,11.500,3.50130,0.578,0,50
182,59.100,0.25796,0.578,1,19
183,16.000,6.16455,0.575,0,50
184,14.000,2.71735,0.573,0,50
185,52.600,2.50022,0.572,1,14
186,12.500,3.59415,0.570,0,50
187,9.500,2.90287,0.567,0,50
188,17.000,2.40336,0.565,0,50
189,5.500,7.21371,0.563,0,50
190,54.200,4.53885,0.562,1,8
191,17.500,2.40332,0.560,0,50
192,56.400,3.26306,0.559,1,21
193,61.800,2.43120,0.557,1,32
194,56.000,7.37448,0.555,1,50
195,15.000,3.67425,0.553,0,50
196,13.500,4.17060,0.550,0,50
197,16.000,5.02959,0.548,0,50
198,24.500,3.71294,0.546,0,50
199,8.500,4.95759,0.543,0,50
200,54.200,8.83538,0.543,1,8
201,13.000,4.87968,0.540,0,50
202,55.300,5.95569,0.540,1,12
203,12.500,1.64997,0.537,0,50
204,13.000,2.39093,0.535,0,50
205,7.000,4.31702,0.533,0,50
206,54.400,3.41385,0.532,1,11
207,7.500,6.20932,0.530,0,50
208,59.300,4.92046,0.529,1,22
209,61.900,4.07608,0.528,1,26
210,54.000,0.37108,0.527,1,10
211,18.000,4.96044,0.525,0,50
212,10.000,6.11523,0.522,0,50
213,62.600,5.70209,0.520,1,44
214,12.500,9.61074,0.518,0,50
215,8.500,5.58815,0.515,0,50
216,10.500,3.78714,0.513,0,50
217,58.300,4.11478,0.512,1,27
218,68.900,4.94298,0.510,1,36
219,13.500,5.34880,0.508,0,50
220,15.000,5.39666,0.505,0,50
221,12.000,7.33221,0.503,0,50
222,9.500,6.79928,0.501,0,50
223,21.500,7.68963,0.498,0,50
224,65.500,3.61695,0.496,1,40
225,7.500,6.23641,0.494,0,50
226,18.000,5.53776,0.492,0,50
227,61.800,4.85950,0.491,1,22
228,16.500,6.83914,0.488,0,50
229,9.500,4.91616,0.486,0,50
230,72.000,4.19124,0.483,1,50
231,54.600,21.37292,0.483,1,9
232,52.100,0.49445,0.483,1,4
233,13.500,9.83129,0.480,0,50
234,21.500,8.02248,0.478,0,50
235,60.300,4.09763,0.477,1,17
236,15.000,4.83418,0.475,0,50
237,18.500,5.03505,0.472,0,50
238,57.200,4.05134,0.472,1,18
239,9.000,8.88364,0.469,0,50
240,17.000,5.38399,0.467,0,50
241,7.000,6.07545,0.464,0,50
242,68.100,5.73950,0.463,1,29
243,65.400,7.36380,0.461,1,46
244,71.100,6.10764,0.459,1,44
245,22.000,5.03321,0.456,0,50
246,68.800,8.55256,0.454,1,42
247,66.000,5.12672,0.453,1,35
248,19.500,9.12543,0.450,0,50
249,54.900,3.32017,0.450,1,11
250,51.600,8.88615,0.449,1,14
251,15.000,12.15300,0.447,0,50
252,19.000,6.25143,0.444,0,50
253,13.500,5.08702,0.442,0,50
254,20.500,8.45736,0.440,0,50
255,65.500,7.55813,0.438,1,30
256,11.000,7.61570,0.436,0,50
257,56.200,7.57710,0.435,1,18
258,65.100,4.36663,0.434,1,24
259,52.500,6.91282,0.433,1,20
260,52.000,6.60573,0.433,1,5
261,54.500,10.00609,0.432,1,10
262,20.000,9.69931,0.430,0,50
263,55.200,10.18304,0.428,1,38
264,58.600,4.00514,0.427,1,24
265,8.500,8.39348,0.425,0,50
266,16.500,11.15631,0.422,0,50
267,16.500,6.69155,0.420,0,50
268,22.000,9.15193,0.417,0,50
269,56.500,9.65293,0.417,1,10
270,20.000,14.94057,0.415,0,50
271,19.000,7.38402,0.412,0,50
272,62.200,8.89648,0.411,1,18
273,15.000,7.91948,0.409,0,50
274,18.000,11.01446,0.407,0,50
275,23.000,11.28505,0.404,0,50
276,25.000,10.04136,0.402,0,50
277,65.700,10.38761,0.401,1,23
278,19.000,9.09467,0.398,0,50
279,10.500,5.76120,0.396,0,50
280,75.200,4.48209,0.394,1,48
281,57.100,6.95956,0.393,1,14
282,57.500,12.20812,0.392,1,15
283,21.000,5.57107,0.390,0,50
284,26.000,12.00621,0.388,0,50
285,55.500,15.87451,0.387,1,10
286,12.500,6.53353,0.385,0,50
287,29.000,8.66725,0.382,0,50
288,18.500,12.19591,0.380,0,50
289,53.500,10.48023,0.379,1,15
290,21.000,9.54058,0.377,0,50
291,58.100,9.37373,0.376,1,24
292,17.500,12.85558,0.373,0,50
293,59.000,8.27966,0.372,1,20
294,56.800,7.52882,0.372,1,17
295,18.000,6.94856,0.369,0,50
296,58.300,12.33004,0.368,1,22
297,56.200,3.06026,0.368,1,13
298,59.600,4.09576,0.367,1,19
299,12.000,9.69246,0.364,0,50
300,18.500,9.70236,0.362,0,50
301,13.000,9.45860,0.360,0,50
302,53.900,9.37372,0.359,1,21
303,58.600,17.00793,0.357,1,44
304,22.500,8.03609,0.354,0,50
305,58.700,10.49697,0.353,1,18
306,16.000,11.83274,0.351,0,50
307,66.100,9.96483,0.349,1,44
308,64.000,9.62751,0.347,1,30
309,53.400,6.32318,0.347,1,6
310,56.800,9.73373,0.347,1,12
311,51.500,11.94777,0.346,1,5
312,59.000,9.42418,0.345,1,30
313,13.000,11.18904,0.343,0,50
314,-0.000,11.87231,0.340,0,50
315,11.500,8.77788,0.338,0,50
316,55.900,14.92805,0.337,1,11
317,5.500,11.46368,0.335,0,50
318,57.100,11.46460,0.334,1,24
319,54.000,8.98843,0.333,1,25
320,67.800,6.52402,0.331,1,27
321,52.900,5.86434,0.331,1,6
322,55.900,10.80047,0.330,1,26
323,59.400,13.24415,0.329,1,16
324,52.600,13.19174,0.329,1,9
325,61.200,4.62839,0.327,1,23
326,20.000,6.52393,0.325,0,50
327,64.600,10.94472,0.323,1,39
328,52.100,4.41306,0.323,1,9
329,55.200,13.74297,0.322,1,13
330,62.900,13.62292,0.321,1,21
331,52.800,8.89063,0.321,1,7
332,51.300,8.83503,0.321,1,7
333,24.500,15.33968,0.318,0,50
334,68.100,22.35881,0.317,1,24
335,56.400,16.55149,0.316,1,31
336,55.300,14.50779,0.315,1,12
337,21.000,12.21765,0.313,0,50
338,52.100,21.42241,0.312,1,4
339,55.200,11.97142,0.312,1,8
340,60.100,5.27108,0.311,1,14
341,19.000,10.74222,0.309,0,50
342,71.700,12.74559,0.307,1,48
343,53.600,1.07703,0.306,1,9
344,65.300,5.81437,0.305,1,22
345,77.100,15.18611,0.303,1,44
346,19.500,8.11163,0.301,0,50
347,53.600,10.50711,0.300,1,9
348,3.000,15.18239,0.298,0,50
349,14.500,14.08356,0.296,0,50
350,57.100,12.23314,0.295,1,14
351,7.500,14.33590,0.293,0,50
352,10.500,13.57655,0.290,0,50
353,58.100,22.30072,0.289,1,14
354,16.000,16.61281,0.287,0,50
355,71.700,14.78199,0.285,1,38
356,70.700,11.71497,0.283,1,43
357,68.100,15.70066,0.281,1,44
358,54.600,10.41595,0.281,1,9
359,25.000,12.93200,0.278,0,50
360,15.000,16.03632,0.276,0,50
361,23.500,19.40163,0.274,0,50
362,5.500,8.86141,0.271,0,50
363,73.300,11.91170,0.269,1,47
364,54.200,14.18848,0.269,1,8
365,65.900,10.44048,0.266,1,46
366,54.000,7.42603,0.266,1,10
367,87.300,14.36075,0.264,1,47
368,24.000,14.90205,0.261,0,50
369,57.600,6.01660,0.261,1,9
370,52.900,14.66369,0.261,1,6
371,62.900,15.18475,0.260,1,16
372,53.100,14.01474,0.260,1,4
373,19.500,11.88557,0.257,0,50
374,62.100,14.34670,0.256,1,34
375,57.800,24.93726,0.255,1,17
376,19.000,14.54267,0.253,0,50
377,17.000,15.99612,0.250,0,50
378,28.000,15.26932,0.248,0,50
379,75.100,14.95419,0.246,1,44
380,58.800,12.30352,0.245,1,12
381,59.100,23.19311,0.244,1,14
382,59.500,12.89926,0.244,1,15
383,63.900,12.69034,0.242,1,41
384,60.400,13.37578,0.241,1,26
385,63.400,16.70337,0.240,1,21
386,59.800,12.65163,0.237,1,47
387,57.200,12.53506,0.236,1,18
388,13.500,13.96199,0.234,0,50
389,16.500,14.38732,0.232,0,50
390,59.600,9.12040,0.231,1,24
391,19.500,17.04399,0.228,0,50
392,68.000,11.03711,0.227,1,35
393,58.400,18.95201,0.226,1,11
394,3.000,11.90889,0.224,0,50
395,54.900,14.72801,0.223,1,6
396,20.500,11.43863,0.221,0,50
397,63.500,11.72083,0.219,1,45
398,21.000,13.67172,0.216,0,50
399,56.700,17.00555,0.216,1,8
400,51.200,36.62766,0.216,1,3
401,24.500,12.95374,0.214,0,50
402,56.100,15.67218,0.213,1,9
403,61.000,14.90940,0.212,1,20
404,59.000,13.62611,0.212,1,15
405,13.500,16.29479,0.209,0,50
406,30.000,14.04987,0.207,0,50
407,27.000,16.90907,0.204,0,50
408,59.900,16.60361,0.203,1,36
409,58.800,23.09148,0.201,1,32
410,64.900,11.95757,0.199,1,41
411,24.000,12.62624,0.197,0,50
412,53.900,21.36787,0.196,1,11
413,53.700,27.31582,0.196,1,8
414,58.400,20.46494,0.195,1,26
415,51.900,10.83827,0.194,1,6
416,51.700,29.18945,0.194,1,3
417,28.500,18.15089,0.192,0,50
418,54.500,16.54683,0.192,1,5
419,63.000,15.11046,0.191,1,20
420,53.600,29.14067,0.190,1,9
421,74.000,13.15033,0.189,1,35
422,65.700,15.96363,0.188,1,23
423,16.500,18.98357,0.185,0,50
424,16.000,14.38203,0.183,0,50
425,34.500,14.26323,0.180,0,50
426,19.000,15.87550,0.178,0,50
427,14.500,16.85261,0.176,0,50
428,54.600,7.47660,0.175,1,9
429,38.000,13.63584,0.173,0,50
430,59.500,14.49844,0.172,1,15
431,56.400,18.76714,0.172,1,11
432,52.800,17.85896,0.171,1,7
433,32.000,19.99731,0.169,0,50
434,53.500,10.82145,0.169,1,5
435,18.500,14.25832,0.166,0,50
436,72.000,22.85230,0.165,1,30
437,40.000,17.25756,0.162,0,50
438,23.500,16.53438,0.160,0,50
439,52.500,31.70660,0.160,1,5
440,53.900,24.85650,0.160,1,6
441,59.600,17.43672,0.159,1,14
442,56.100,16.57925,0.158,1,14
443,54.500,17.60094,0.158,1,5
444,55.200,16.98658,0.158,1,8
445,64.200,16.13705,0.156,1,43
446,16.500,17.87700,0.153,0,50
447,39.500,19.43461,0.151,0,50
448,53.000,17.43699,0.151,1,5
449,63.700,20.40895,0.150,1,23
450,77.300,21.08446,0.148,1,32
451,69.100,19.73832,0.146,1,39
452,52.700,20.19992,0.146,1,3
453,60.400,14.83094,0.145,1,21
454,16.000,14.83833,0.143,0,50
455,11.000,18.22562,0.140,0,50
456,36.000,21.51959,0.138,0,50
457,70.500,18.42937,0.136,1,35
458,53.300,23.06227,0.136,1,7
459,55.600,12.86560,0.135,1,24
460,23.000,13.28760,0.132,0,50
461,75.200,20.53619,0.130,1,48
462,64.100,17.31481,0.129,1,19
463,54.000,17.82579,0.129,1,5
464,24.000,15.31232,0.127,0,50
465,58.600,15.15215,0.126,1,14
466,54.400,18.17652,0.126,1,6
467,57.700,14.06904,0.125,1,13
468,54.900,10.18457,0.124,1,21
469,52.100,8.07038,0.124,1,4
470,27.500,20.81617,0.121,0,50
471,65.900,17.77156,0.120,1,36
472,58.000,25.45104,0.119,1,10
473,16.500,23.23940,0.117,0,50
474,36.500,17.81534,0.115,0,50
475,65.900,17.85128,0.113,1,31
476,52.100,30.88147,0.113,1,4
477,69.300,17.78946,0.112,1,27
478,31.000,24.74009,0.109,0,50
479,41.000,17.08330,0.107,0,50
480,53.600,27.57348,0.107,1,4
481,53.800,16.71685,0.106,1,7
482,72.700,23.17614,0.104,1,48
483,64.600,19.25119,0.102,1,34
484,38.000,16.37554,0.100,0,50
485,0.500,19.73788,0.098,0,50
486,54.000,12.53150,0.097,1,5
487,26.500,15.30512,0.095,0,50
488,74.500,18.61286,0.093,1,40
489,62.900,20.04191,0.092,1,26
490,53.100,20.23519,0.092,1,4
491,60.300,12.68533,0.091,1,12
492,53.700,4.40067,0.091,1,8
493,63.100,16.82027,0.090,1,24
494,24.000,19.43013,0.087,0,50
495,24.500,16.86398,0.085,0,50
496,12.000,18.53466,0.082,0,50
497,66.000,19.37995,0.081,1,35
498,73.200,19.25363,0.079,1,28
499,78.800,19.77479,0.077,1,47
500,18.000,21.35553,0.075,0,50
501,24.000,17.48230,0.073,0,50
502,0.500,14.09205,0.070,0,50
503,62.500,17.29159,0.069,1,15
504,37.500,22.11225,0.067,0,50
505,56.900,17.42463,0.067,1,11
506,60.400,15.94804,0.066,1,21
507,54.700,14.02211,0.065,1,8
508,53.800,21.92138,0.065,1,7
509,38.500,20.02608,0.062,0,50
510,67.200,18.08063,0.061,1,23
511,58.900,17.10112,0.061,1,11
